FullName,Birthplace
向义先,四川垫江
吴世振,韩国
陈远湘,四川宣汉
任子超,湖南常德
王士俊,河南巩县
胡克恕,山西定襄
江亚中,四川江津
郑嗣康,四川重庆
樊泽春,陕西渭南
曾劲,湖南湘乡
李秀,直隶正定
蒋培元,湖南宝庆
卓超寰,广东五华
单作丰,陕西郭县
刘世承,河南固始
王濒鼎,甘肃靖远
谢义锋,湖南耒阳
邹健,湖南新化
钟涤松,湖南醴陵
王耀远,江西萍乡
李天衢,湖南宝庆
肖超伍,河南息县
李云峰,河南商城
谭子琦,湖南保靖
徐秀亭,山东高唐
温其亮,河南汝南
载世勋,湖南澧县
杨佩瑶,直隶唐山
王兆华,江西万安
桂超亚,陕西宁陕
陈桂霖,四川江津
杨震华,四川邻水
周广祺,山西洪洞
来世升,河南安阳
陈昌衿,湖南湘潭
王静轩,河南内乡
米宗恭,陕西扶风
李维民,山东茌平
廖一之,四川邻内
肖世亨,广东曲江
蒋朝洪,广西全县
廖勋策,广东惠州
王恩荣,陕西长安
陈鸿义,湖南永兴
廖文芳,广东紫金
卢盖军,湖南安化
张子春,山东馆陶
周俊谋,湖南攸县
魏益全,广东博罗
朱始营,广东益江
魏绅,山西阳高
张清和,山西崞县
王鼎洲,陕西三原
付道彝,山西阳高
戚光,河南黄川
同学存,湖南宁乡
余维淑,广西融县
营秉章,陕西醴泉
余本章,陕西长安
饶英之,广东兴宁
邢有功,山东长清
黄溥泉,湖北大冶
赵宝玺,山西浮山
李俊,湖南澧州
王必昌,湖南新宁
沈啸风,浙江绍兴
李联珍,山西霍县
熊开智,湖南
唐靖澜,四川巴县
刘世琢,山东阳谷
丁一,山东平阴
黄泰安,四川江津
刘雨亭,湖南醴陵
聂晓春,湖南醴陵
郗慷,陕西长安
何群,湖南祁阳
殴阳农,四川荣县
王仲武,湖南临武
晏雨金,四川隆昌
杨培根,湖南安化
唐仁炳,湖南常德
吴少伯,广东琼东
王章尧,广东澄迈
张泰竦,广东琼山
叶其丰,广东信宜
彭俊英,广东化县
李均,福建长乐
郑造,湖南宝庆
郭巨涛,湖南武冈
苏维世,湖南湘阴
杨奂清,湖南益阳
史白之,江苏溧阳
梁养正,陕西三原
凌震球,安徽风陪
郭俊英,福建闽侯
吴衡皋,江西金豁
李凤畴,广东化县
张元贞,山西绛县
封聘梁,四川江北
曾鸿宾,湖南长沙
韩应斌,陕西乾县
李峰森,湖南临武
刘仲容,四川安岳
阙一鹤,浙江庆元
盛泽球,湖南湘潭
毛车湖,湖南长沙
潘卓,湖南醴陵
陈国忠,湖南资兴
周化庆,河南安阻
苏振刚,陕西成阳
唐衡,湖南衡山
雷鉴熊,四川岳池
钟济凡,湖南湘阴
申及智,陕西兴平
马瑞国,山西宁武
雷培性,河南正阳
张祥麟,陕西鄂县
王子伟,陕西渭南
张诚,陕西武功
壬学韬,江苏南京
肖湘武,湖南武冈
杨幼仑,湖南湘阴
向志圣,湖南武冈
尹务星,湖南浏阳
黄谦,湖南郴州
蒋子英,湖南武冈
王琛,河南济源
王橹,直隶天津
郑俊群,湖南宝庆
周务民,湖南安乡
李竹修,四川垫江
雷纪盛,湖南宝庆
苏重维,四川筠连
黄世英,湖南临武
王虔庵,河南太康
冷松茂,湖南益阳
梁冠雄,广东海康
张维汉,山西陵川
姚升瀛,河南浚县
黄道,湖南攸县
过砚人,四川酉阳
龙睛骧,四川荣县
陈章,湖南宁远
吴廷震,江西武宁
赖湘傅,江西南康
