FullName,Birthplace
路景荣,湖南
唐骥,湖南宝庆
壬嘉玺,陕西临潼
聂靖,山东益都
孙鸿祥,直隶乐亭
张舫,云南镇南
文蔚雄,湖南醴陵
惠广仁,陕西华县
龙次云,湖南湘阴
王绍曾,河南新蔡
叶杞,浙江青田
张汉铎,山东即墨
高鹏,陕西乾县
姚全,河南唐河
郑宝钟,河南孟津
艘鹤年,浙江诸暨
王建勋,内蒙托县
叶荣,浙江东阳
蒋宗凑,浙江浦江
姜平国,韩国
丁昌,湖南长沙
张仰虞,四川忠县
王直,湖南沅陵
田子梅,山西崞县
叶镛,四川乐至
罗鉴,贵州郎岱
张维城,湖南郴州
陈嵊,湖南新化
李见邦,湖南长沙
汪祥吉,湖南衡阳
余景祥,福建惠安
张旭升,湖南石门
曹森,河南唐河
谢能振,湖南资兴
许致和,湖北黄冈
胡惟民,湖北京山
王世彬,湖北黄陂
何芳普,湖南宁远
李蔚英,内蒙归绥
张德懋,四川大竹
宋志文,山东临邑
廖风运,湖南郴州
包介山,浙江富阳
刘纯甫,安徽霍邱
张希涛,山西平陆
全瑛,湖南沅陵
胡睦修,浙江庆元
郭德彰,湖南湘潭
袁宗武,湖南汝城
任子明,江苏江阴
蒋蔚亥,湖南安化
裴厚德,山西兴县
钟德谟,湖南平江
黄明,湖南长沙
刘定权,湖南武冈
邓烈权,陕西渭南
杨蔚,河南商城
陈治戎,广东合浦
曹天戈,浙江宁波
王一球,湖南祁阳
王杰,浙江黄岩
张同古,福建连城
何盛璜,湖南宁乡
胡国振,浙江东阳
刘振翮,湖南新化
罗赤魂,湖南汝城
吴辉煌,福建浦城
黄震欧,湖南耒阳
包烈,浙江诸暨
阎旭动,河南新蔡
王雄,湖南衡阳
李在仕,湖南零陵
袁贤赓,湖南汝城
雷翼龙,四川璧山
黄炎,江苏靖江
刘钺,河南信阳
夏俊清,湖南醴陵
陈国桢,广东梅县
唐芳儒,湖南慈利
邹继文,湖北汉川
李炳南,陕西渭南
谭桓,湖南长沙
吴恩炳,湖南澧县
戴恩湛,湖南新化
刘志道,陕西扶风
姚传禄,山东聊城
孙汝舟,河南安阳
樊国淦,山西崞县
陈选义,湖南临武
胡豪,江西兴国
单照岩,河南新蔡
邱维达,湖南平江
蒋家骥,湖南衡阳
赵芹圃,湖南石门
李德芳,湖北黄梅
王章,四川
刁其宏,广西
赵经庭,江苏
廖公达,广东梅县
余熠蝰,四川
瞿惕群,湖南醴陵
陈海晏,河南商城
侯汉雄,福建
唐化南,湖南零陵
邢德荣,陕西邰阳
邬藻春,湖北京山
王继孔,四川阆中
黄秀南,福建永定
胡行方,湖南汉川
高国杰,湖南益陪
廖傅霖,湖南临湘
覃正格,湖南石门
黄壮飞,广东梅县
刘景桂,陕西
赵桐,云南阿迷
陈敬,山东峄县
唐韫辉,江苏
蒋泽,湖南长沙
张辅材,湖南浏阳
戴义赞,河南光山
朱兴汶,山东滕县
宗树衡,江苏宜兴
王强,广东罗定
郭枚涛,湖南嘉禾
谢贲荣,福建上杭
向雄,湖南沅陵
陈在权,湖南湘阴
吕道立,河南巩县
白鑫,湖南常德
沐绍英,安徽巢县
陈邦正,浙江临海
张邦彦,福建惠安
罗锦光,广东兴宁
袁振声,江西宜春
段克勋,云南邓川
刘之陇,河南新蔡
李子祥,云南昆明
周晤均,湖南石门
田志,湖南临武
卓飞,福建闽侯
胡轨,江西萍乡
李旦卿,湖南临湘
